tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1719389632142483773,"¡Con altura! Juan Daniel Oviedo sale a agradecer

https://t.co/bhadoxyAeK

#JuanDanielOviedo #Elecciones #Bogotá #Resultados #Alcaldía #Gratitud #Agradecimiento #Respeto #Ciudadanía #Liderazgo #Política #Votos #ProyectoPolítico #SenadorHumbertodeCalle",es,Retweet,0,0,1,0,117,2023-10-31 11:23:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#JuanDanielOviedo,#Elecciones,#Bogotá,#Resultados,#Alcaldía,#Gratitud,#Agradecimiento,#Respeto,#Ciudadanía,#Liderazgo,#Política,#Votos,#ProyectoPolítico,#SenadorHumbertodeCalle",https://www.noscogiolanoche.tv/con-altura-juan-daniel-oviedo-sale-a-agradecer/,,
1706373773828436378,"#Oviedo es la versión ""Macha"" del señor #Claudia a la #alcaldia de #Bogota",es,Retweet,0,0,1,0,15,2023-09-25 13:23:05,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Oviedo,#Claudia,#alcaldia,#Bogota",,,
1631999640852725760,"Doctor en Economía, exdirector del DANE y según las estadísticas, uno de los más relevantes funcionarios públicos en la última década de nuestro país. Juan Daniel Oviedo llega este sábado 04 de marzo a las 7:00 p.m. a #EsUnPlacer. 

@jdoviedoa

#Bogotá #Política #Alcaldía https://t.co/Sqt2Saogew",es,Retweet,0,172,22,10,16452,2023-03-04 07:46:50,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#EsUnPlacer,#Bogotá,#Política,#Alcaldía",,video,https://pbs.twimg.com/ext_tw_video_thumb/1631999555699982337/pu/img/CzA3Mqq8pmR34l1A.jpg
1684208684669235205,"@naguara_guaro @OviedoPSUV @TarekWiliamSaab @Defensoria_Vzla Implorando al Altísimo que nuestros gobernantes puedan oír los ruegos de Jubilados y Pensionados #Alcaldia de Caroní, señor Alcalde Tito Oviedo, los Jubilados no son mendigos son extrabajadores donde usted por el voto 🗳️ de muchos de ellos está como Alcalde, pague la Cesta Ticket",es,Retweet,0,1,2,0,105,2023-07-26 09:26:56,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#Alcaldia,,,
1718797458560487724,Juan Daniel Oviedo @JDOviedoA  anunciando que el 01 de noviembre entrega el apartamento en Bosa #Alcaldía #alcaldiabogota #Elecciones2023 #petro  #bolivar #galan #quemadahistorica ( esto último solo aplica para Gus ) 😂😂😂 https://t.co/NlIheKE2Zr,es,Retweet,0,0,1,0,119,2023-10-29 20:10:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Alcaldía,#alcaldiabogota,#Elecciones2023,#petro,#bolivar,#galan,#quemadahistorica",,photo,https://pbs.twimg.com/media/F9plLhCW8AATPAh.jpg
1712564909765280157,"#Regionales
Alcalde Tito Oviedo inspeccionó trabajos en cárcava de la Gumilla

Ver más https://t.co/S8gqszvQXw…

#alcaldia #caroni #bolivar #servicios #agua #cárcava #venezuela #PueblosIndígenas
#DiaDeLaResistenciaIndigena @OviedoPSUV https://t.co/HelZlg4AGr",es,Retweet,0,0,1,0,27,2023-10-12 15:24:27,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Regionales,#alcaldia,#caroni,#bolivar,#servicios,#agua,#cárcava,#venezuela,#PueblosIndígenas,#DiaDeLaResistenciaIndigena",http://guarandinganews.com/2023/10/alcald,photo,https://pbs.twimg.com/media/F8RAtX6WAAA53D4.jpg
1684348631392845824,"¿Por quién de estos dos candidatos votaría a la #alcaldía de @Bogota?

🔄 = Juan Daniel #Oviedo 
❤️ = Gustavo #Bolivar
Argumenta tu respuesta y comparte. https://t.co/KTb02X7JW3",es,Retweet,0,42,292,78,10266,2023-07-26 18:43:02,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#alcaldía,#Oviedo,#Bolivar",,photo,"https://pbs.twimg.com/media/F2ACIvvX0AQddeV.jpg,https://pbs.twimg.com/media/F2ACJ4RXsAI11ml.jpg"
1718601437339394054,"El plebiscito es hoy
#metro #bogotá #elecciones #alcaldía #galán #oviedo #bolívar #gobierno #caricatura https://t.co/YEfBYG6mgU",es,Retweet,0,19,10,1,774,2023-10-29 07:11:27,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#metro,#bogotá,#elecciones,#alcaldía,#galán,#oviedo,#bolívar,#gobierno,#caricatura",,photo,https://pbs.twimg.com/media/F9my5aiXIAE6EjK.jpg
1681117867628953600,"Recuerda es tu voto 🗳️ !!!

❤️ Carlos Fernando galán 
🔁 Juan Daniel Oviedo 

#Elecciones2023  #alcaldia #Bogotá https://t.co/u1dU7wdi1S",es,Retweet,0,186,104,75,10080,2023-07-17 20:45:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Elecciones2023,#alcaldia,#Bogotá",,photo,"https://pbs.twimg.com/media/F1SHvvCWwAAOyDn.jpg,https://pbs.twimg.com/media/F1SHvvDWYAA-T9U.jpg"
1687213851832385537,#alcaldia | Desde el primer debate de alcaldía para Bogotá se habla de Seguridad teniendo en cuenta que un candidato es @Diego_Molano ex ministro de Defensa y el ex general de la policía @ElGeneralVargas. Se espera nuevos cambios. https://t.co/asC75uSBiF,es,Retweet,0,2,1,0,73,2023-08-03 16:28:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#alcaldia,,photo,https://pbs.twimg.com/media/F2owDdZXQAAZkqh.jpg
1692270160017563970,"🧐Seguimos buscando #LaReceta para Bogotá con los candidatos a la #alcaldía. Esta vez @Diego_Molano conversa con jóvenes de diferentes colectivos de la ciudad sobre sus propuestas. ⬇️

🗓️Conoce la charla completa el próximo miércoles 23 de agosto por las redes sociales de @ProbogotaRegion",es,Retweet,0,7,3,0,412,2023-08-17 15:20:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#LaReceta,#alcaldía",,photo,"https://pbs.twimg.com/media/F3wmFIgWEAA7eHx.jpg,https://pbs.twimg.com/media/F3wmFIkW0AAyVoh.jpg,https://pbs.twimg.com/media/F3wmFIiWMAIb4bU.jpg,https://pbs.twimg.com/media/F3wmFJvWMAAUTw_.jpg"
1684989332405268496,Si las elecciones a la alcaldía de Bogota fuera mañana; por quién votarias @Diego_Molano @GustavoBolivar #Bogota #Alcaldia #SoOreoEOreo #coldplaydublin,es,Retweet,0,3,1,0,78,2023-07-28 13:08:57,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Bogota,#Alcaldia,#SoOreoEOreo,#coldplaydublin",,,
1715448317579034736,"Una reflexión para los candidatos a la #alcaldia de #Bogota sobre tarifas gratis en transporte público: El caso de Estonia con 10 años de experiencia. @CarlosFGalan @JDOviedoA @Diego_Molano @ElGeneralVargas @gustavobolivar @Rodrigo_Lara_ 

https://t.co/jlXkLMCj8J",es,Retweet,0,0,1,0,35,2023-10-20 14:22:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#alcaldia,#Bogota",https://www.fastcompany.com/90968891/estonias-capital-made-mass-transit-free-a-decade-ago-car-traffic-went-up,,
1694731942380318879,La agenda de trabajo para #bogota requiere enfoque en temas estructurales y no más falacias populistas. #Elecciones2023 para #alcaldia críticas. @Diego_Molano @Rodrigo_Lara_ @CarlosFGalan @JDOviedoA @ElGeneralVargas ¿cómo evitar caer en el error 2011?,es,Retweet,0,0,1,0,12,2023-08-24 10:22:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#bogota,#Elecciones2023,#alcaldia",,,
1714074833355497649,"Todos sabemos qué el mejor candidaro es Diego Molano
A votar por el para derrotar a  la izq tramposa que tiene a #Bogotá  en el caos. @Diego_Molano
#alcaldia @Bogota",es,Retweet,0,0,1,0,17,2023-10-16 19:24:20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Bogotá,#alcaldia",,,
1709905102381650153,"@CarlosFGalan @GustavoBolivar @JDOviedoA @Rodrigo_Lara_ @JERobledo @Diego_Molano @ElGeneralVargas @Nicolas_ramos_b @FicoGutierrez @JuanCaUpeguiV @AlbertCorredor @PauAguinaga @tobonsanin @LilianaDeFrente @Juancamilorpog @danielduquev @JDValde @deicyelena @felipevelezroa En #Cali la intención de voto hacia la #Alcaldía de la ciudad se muestra de esta forma, a 24 días para las #Elecciones2023.  @robertoortizu lidera la intención, seguido por @alejoeder, @MiyerlandiT y @deninsonmendoza.

Resultados completos en https://t.co/Agl9j1yWaD https://t.co/4wGY5rRg0n",es,Retweet,0,5,3,1,930,2023-10-05 07:15:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Cali,#Alcaldía,#Elecciones2023",http://www.emporiacya.com/granencuesta,photo,"https://pbs.twimg.com/media/F7rMuwiXkAAT9iW.jpg,https://pbs.twimg.com/media/F7rMvqDXAAATpwO.jpg,https://pbs.twimg.com/media/F7rMwdyWsAAbUwJ.jpg"
1681159519907315712,"@Diego_Molano próximo alcalde de BOGOTÁ ❤️💛 Tiene la experiencia el conocimiento pero sobretodo el carácter para recuperar la seguridad en Bogotá, ejecutar las obras ya contratadas y trabajar la economía y desarrollo de la capital. #DiegoMolanoAlcalde #alcaldia https://t.co/zoqfgixgkz",es,Retweet,0,1,1,0,7,2023-07-17 23:30:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#DiegoMolanoAlcalde,#alcaldia",,video,https://pbs.twimg.com/ext_tw_video_thumb/1681159403502706688/pu/img/S_4XP8WVXyneBdpV.jpg
1689012288530026498,"@CNCSocial 
Encuesta Candidatos #Alcaldía @Bogota parece un #FakeNews 
La Contrataron @PactoCol y @PartidoLiberal?
@JDOviedoA y @Diego_Molano con los mejores perfiles y los más opcionados con semejante porcentaje? https://t.co/Fou9qmOqun",es,Retweet,0,0,2,0,36,2023-08-08 15:34:44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Alcaldía,#FakeNews",,photo,https://pbs.twimg.com/media/F3CTuTcWAAAYtku.jpg
1694035507569668260,"El candidato a la Alcaldía de Bogotá, Diego Molano, estuvo en Pulzo Live y nos habló sobre el polémico protestódromo. ¿Lo implementará si es elegido en la capital? Esto dijo
 
#Pulzo #Nación #DiegoMolano #Bogotá #colombia #alcaldía #protestodromo https://t.co/WXKJyKktVd",es,Retweet,0,3,2,1,804,2023-08-22 12:15:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Pulzo,#Nación,#DiegoMolano,#Bogotá,#colombia,#alcaldía,#protestodromo",,video,https://pbs.twimg.com/ext_tw_video_thumb/1694035316657541121/pu/img/U1YKWQheu4hLO558.jpg
1694414794873335825,"Moderando el #Conversatorio #Candidatos #alcaldia @UniversidadEan @camaraverde @CarlosFGalan @robledo @JDOviedoA @Rodrigo_Lara_ @Diego_Molano 
@RedMasNoticias #politicas #MedioAmbiente #Bogota https://t.co/StozT5tpPM",es,Retweet,1,15,3,0,1647,2023-08-23 13:22:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Conversatorio,#Candidatos,#alcaldia,#politicas,#MedioAmbiente,#Bogota",,photo,"https://pbs.twimg.com/media/F4PCmY2XQAE2673.jpg,https://pbs.twimg.com/media/F4PDO6vWQAAREYf.jpg,https://pbs.twimg.com/media/F4PDD9UWUAA-BjJ.jpg"
1683566696609488898,"Este lunes, 24 de julio, el exministro de Defensa, #DiegoMolano inscribió oficialmente su candidatura a la #Alcaldía de #Bogotá. En este sentido Molano obtuvo más de 117 mil firmas que recogió por varios meses en localidades de la capital con el movimiento ‘Reconstruyamos Bogotá’ https://t.co/5XyD8cXDae",es,Retweet,0,102,35,6,4974,2023-07-24 14:55:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#DiegoMolano,#Alcaldía,#Bogotá",,photo,https://pbs.twimg.com/media/F106j9hXsAYecf-.jpg
1702737604704153835,@Aritoecucu @RachellTina @Adriana09855911 @PibasLibertad @Diego_Molano @__JAGZ_ @abitorozo @escipion1969 @CesarRojasCol @magri64 @Enrique_GomezM @NadiFadia @ChinoPitoso @AnaMP62954485 @laorem60 @AsterixCafetero @DiegoMolano https://t.co/o5SyPWmL0s,qme,Retweet,0,7,5,0,65,2023-09-15 12:34:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/F6FW0vhWUAAoeeu.jpg
1705995476435128545,"Vergüenza les debe dar a quienes voten por Bolivar, Galán, Lara, las opciones del petrismo‼️ https://t.co/fmA9yHRVFW Rescatemos Bogotá con #DiegoMolano 👍🏻",es,Retweet,0,31,33,3,649,2023-09-24 12:19:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#DiegoMolano,,video,https://pbs.twimg.com/ext_tw_video_thumb/1705973357085159424/pu/img/BZcUMtDNI9Mw-BZs.jpg
1696201812641038371,"#esdesdelaacademia
#DiegoMolano #Bogota 💛❤️
#SeguridadCiudadana
#Elecciones2023🇨🇴

#DiegoMolanoAlcaldeBogotano ‼️
🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦 https://t.co/pLwYl4aoHv",und,Retweet,0,9,10,0,534,2023-08-28 11:43:20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#esdesdelaacademia,#DiegoMolano,#Bogota,#SeguridadCiudadana,#Elecciones2023,#DiegoMolanoAlcaldeBogotano",,video,https://pbs.twimg.com/ext_tw_video_thumb/1696201768131084299/pu/img/_roSkY_wD_3vJv5u.jpg
